Components List,,,,,,,,
Id,Name,Actions,Sensors,Attributs,Other Effects,Color,Prod. Cost,Buy Cost
1,Component goto base,goto/hold,,,,Green,1,
2,Component pick base,pick/drop,,,,Green,1,
3,Component pick/strike base,"strike
pick/drop",,"strength -1
stamina -1",,Green,1,
4,Component strike base,strike,,,,Green,1,
5,Component trace base,trace,,,,Green,1,
6,Component goto str,goto/hold,,strength +1,,Red,2,
7,Component strike str,strike,,strength +1,,Red,2,
8,Component atkrg str,,,"strength +1
atk._range +1",,Red,4,
9,Component flat str,,,strength +1,,Red,1,
10,Component actspd str,,,"strength +1
act._spd. +1",,Red,2,
11,Component goto vita,goto/hold,,vitality +1,,Green,2,
12,Component pick/strike vita,"strike
pick/drop",,"strength -1
vitality +1
stamina -1",,Green,3,
13,Component flat vita,,,vitality +1,,Green,1,
14,Component trace vita,trace,,vitality +1,,Green,2,
15,Component visurg vita,,,"vitality +1
vision_range +1",,Green,5,
16,Component pick stam,pick/drop,,stamina +1,,Blue,2,
17,Component movspd stam,goto/hold,,"stamina +1
move_spd. +1",,Blue,5,
18,Component flat stam,,,stamina +1,,Blue,1,
19,Component pickrg stam,,,"stamina +1
pick_range +1",,Blue,4,
20,Component actspd stam,,,"stamina +1
act._spd. +1",,Blue,3,
21,Component MatthieuLay,lay,,,,Red,5,
22,Component EdwynVision,,vision 10 metrics,,,Red,5,
23,Component RachidVision,,vision 10 metrics,,,Green,1,
