States,Name,Type
0,INIT,Init
1,green found,Inter
2,trace found,Inter
3,back to home,trigger{goto}
4,go to green,trigger{goto}
5,pick green,trigger{pick}
6,go to green trace,trigger{goto}
7,go to red trace,trigger{goto}
8,nothing interesting,Inter
9,go to home,trigger{goto}
10,red found,Inter
11,go to red,trigger{goto}
12,pick red,trigger{pick}
,,
Transitions,Start State,End State
0,INIT,green found
1,INIT,red found
2,INIT,trace found
3,INIT,back to home
4,INIT,nothing interesting
5,green found,go to green
6,green found,pick green
7,trace found,go to green trace
8,trace found,go to red trace
9,nothing interesting,go to home
10,red found,go to red
11,red found,pick red
,,
Syntax Tree,Output,
0,0,
Nodes,Type,Output (Node -> Input)
0,operator{B>SS},
1,param{const scal=0},0->1
2,operator{SsizeR[]},0->0
3,operator{R[]where==R[]TC},2->0
4,param{const txt=color},3->1
5,param{const color=green},3->2
6,param{ref[]:resources},3->0
,,
Syntax Tree,Output,
0,3,
Nodes,Type,Output (Node -> Input)
0,operator{BgetRT},
1,param{const txt=nbItemMax},0->1
2,param{ref:self},0->0
,,
Syntax Tree,Output,
0,6,
Nodes,Type,Output (Node -> Input)
0,operator{B<SS},
1,param{const scal=1},0->0
2,operator{SminIdS[]},0->1
3,operator{S[]distV[]V},2->0
4,operator{VgetRT},3->0
5,param{const txt=curPos},4->1
6,param{ref:self},4->0
7,operator{V[]getR[]T},3->1
8,param{const txt=pos},7->1
9,operator{R[]where==R[]TC},7->0
10,param{ref[]:resources},9->0
11,param{const color=green},9->2
12,param{const txt=color},9->1
,,
Syntax Tree,Output,
0,1,
Nodes,Type,Output (Node -> Input)
0,operator{B>SS},
1,param{const scal=0},0->1
2,operator{SsizeR[]},0->0
3,operator{R[]where==R[]TC},2->0
4,param{const txt=color},3->1
5,param{const color=red},3->2
6,param{ref[]:resources},3->0
,,
Syntax Tree,Output,
0,7,
Nodes,Type,Output (Node -> Input)
0,operator{B>SS},
1,param{const scal=0},0->1
2,operator{SsizeR[]},0->0
3,operator{R[]where==R[]TC},2->0
4,param{const txt=color},3->1
5,param{const color=green},3->2
6,param{ref[]:traces},3->0
,,
Syntax Tree,Output,
0,8,
Nodes,Type,Output (Node -> Input)
0,operator{B>SS},
1,param{const scal=0},0->1
2,operator{SsizeR[]},0->0
3,operator{R[]where==R[]TC},2->0
4,param{const txt=color},3->1
5,param{const color=red},3->2
6,param{ref[]:traces},3->0
,,
Syntax Tree,Output,
0,11,
Nodes,Type,Output (Node -> Input)
0,operator{B<SS},
1,param{const scal=1},0->0
2,operator{SminIdS[]},0->1
3,operator{S[]distV[]V},2->0
4,operator{VgetRT},3->0
5,param{const txt=curPos},4->1
6,param{ref:self},4->0
7,operator{V[]getR[]T},3->1
8,param{const txt=pos},7->1
9,operator{R[]where==R[]TC},7->0
10,param{ref[]:resources},9->0
11,param{const color=red},9->2
12,param{const txt=color},9->1
,,
Syntax Tree,Output,
0,back to home->0,
Nodes,Type,Output (Node -> Input)
0,operator{V[]aggV*},
1,operator{VgetRT},0->0
2,param{ref:home},1->0
2,param{const txt=pos},1->1
,,
Syntax Tree,Output,
0,go to green->0,
Nodes,Type,Output (Node -> Input)
0,operator{V[]aggV*},
1,operator{VgetRT},0->0
2,param{const txt=pos},1->1
3,operator{RgetR[]S},1->0
4,operator{R[]where==R[]TC},3->0
5,param{const txt=color},4->1
6,param{const color=green},4->2
7,param{ref[]:resources},4->0
8,operator{SminIdS[]},3->1
9,operator{S[]distV[]V},8->0
10,operator{VgetRT},9->1
11,param{ref:self},10->0
12,param{const txt=curPos},10->1
13,operator{V[]getR[]T},9->0
14,param{const txt=pos},13->1
15,operator{R[]where==R[]TC},13->0
16,param{ref[]:resources},15->0
17,param{const color=green},15->2
18,param{const txt=color},15->1
,,
