States,Name,Type
0,INIT,Init
1,back to home,trigger{goto}
2,nothing interesting,Inter
3,red found,Inter
4,go to red,trigger{goto}
5,pick red,trigger{pick}
6,drop to home,trigger{drop}
7,is full,Inter
8,goto elsewhere,trigger{goto}
9,goto search,trigger{goto}
10,green found,Inter
11,go to green,trigger{goto}
12,pick green,trigger{pick}
,,
Transitions,Start State,End State
0,INIT,is full
1,INIT,red found
2,INIT,green found
3,INIT,nothing interesting
4,nothing interesting,goto elsewhere
5,nothing interesting,goto search
6,red found,pick red
7,red found,go to red
8,green found,pick green
9,green found,go to green
10,is full,drop to home
11,is full,back to home
,,
Syntax Tree,Output,
0,1,
Nodes,Type,Output (Node -> Input)
0,operator{B>SS},
1,param{const scal=0},0->1
2,operator{SsizeR[]},0->0
3,operator{R[]where==R[]TC},2->0
4,param{const txt=color},3->1
5,param{const color=red},3->2
6,param{ref[]:resources},3->0
,,
Syntax Tree,Output,
0,2,
Nodes,Type,Output (Node -> Input)
0,operator{B>SS},
1,param{const scal=0},0->1
2,operator{SsizeR[]},0->0
3,operator{R[]where==R[]TC},2->0
4,param{const txt=color},3->1
5,param{const color=green},3->2
6,param{ref[]:resources},3->0
,,
Syntax Tree,output,
0,4,
Nodes,Type,output (Node -> Input)
0,operator{B<SS},
1,param{const scal=1},0->1
2,operator{SdistVV},0->0
3,operator{VgetRT},2->0
4,param{const txt=curPos},3->1
5,param{ref:self},3->0
6,operator{VgetRT},2->1
7,param{ref:self},6->0
8,param{const txt=trgPos},6->1
,,
Syntax Tree,Output,
0,0,
Nodes,Type,Output (Node -> Input)
0,operator{B==SS},
1,operator{SgetRT},0->0
2,param{const txt=nbItemMax},1->1
3,param{ref:self},1->0
4,operator{SgetRT},0->1
5,param{const txt=nbItem},4->1
6,param{ref:self},4->0
,,
Syntax Tree,Output,
0,6,
Nodes,Type,Output (Node -> Input)
0,operator{B<SS},
1,operator{SgetRT},0->1
2,param{const txt=pickRange},1->1
3,param{ref:self},1->0
4,operator{SminValS[]},0->0
5,operator{S[]distV[]V},4->0
6,operator{VgetRT},5->1
7,param{const txt=curPos},6->1
8,param{ref:self},6->0
9,operator{V[]getR[]T},5->0
10,param{const txt=pos},9->1
11,operator{R[]where==R[]TC},9->0
12,param{ref[]:resources},11->0
13,param{const color=red},11->2
14,param{const txt=color},11->1
,,
Syntax Tree,Output,
0,8,
Nodes,Type,Output (Node -> Input)
0,operator{B<SS},
1,operator{SgetRT},0->1
2,param{const txt=pickRange},1->1
3,param{ref:self},1->0
4,operator{SminValS[]},0->0
5,operator{S[]distV[]V},4->0
6,operator{VgetRT},5->1
7,param{const txt=curPos},6->1
