States,Name,Type
0,INIT,Init
1,prey in sight,Inter
2,go to prey,trigger{goto}
3,strike,trigger{strike}
4,go to search,trigger{goto}
5,go to elsewhere,trigger{goto}
,,
Transitions,Start State,End State
0,INIT,prey in sight
1,INIT,go to elsewhere
2,INIT,go to search
3,prey in sight,strike
5,prey in sight,go to prey
,,
Syntax Tree,Output,
0,0,
Nodes,Type,Output (Node -> Input)
0,operator{B>SS},
1,param{const scal=0},0->1
2,operator{SsizeR[]},0->0
3,param{ref[]:enemies},2->0
,,
Syntax Tree,Output,
0,1,
Nodes,Type,Output (Node -> Input)
0,operator{B<SS},
1,param{const scal=1},0->1
2,operator{SdistVV},0->0
3,operator{VgetRT},2->0
4,param{const txt=curPos},3->1
5,param{ref:self},3->0
6,operator{VgetRT},2->1
7,param{ref:self},6->0
8,param{const txt=trgPos},6->1
,,
Syntax Tree,Output,
0,3,
Nodes,Type,Output (Node -> Input)
0,operator{B<SS},
1,operator{SgetRT},0->1
2,param{ref:self},1->0
3,param{const txt=atkRange},1->1
4,operator{SdistVV},0->0
5,operator{VgetRT},4->0
6,param{const txt=curPos},5->1
7,operator{RgetR[]S},5->0
8,param{ref[]:enemies},7->0
9,operator{SminIdS[]},7->1
10,operator{S[]distV[]V},9->0
11,operator{VgetRT},10->1
12,param{ref:self},11->0
13,param{const txt=curPos},11->1
14,operator{V[]getR[]T},10->0
15,param{const txt=curPos},14->1
16,param{ref[]:enemies},14->0
17,operator{VgetRT},4->1
18,param{ref:self},17->0
19,param{const txt=curPos},17->1
,,
Syntax Tree,Output,
0,go to search->0,
Nodes,Type,Output (Node -> Input)
0,operator{V[]aggV*},
1,operator{VgetRT},0->0
2,param{ref:self},1->0
3,param{const txt=trgPos},1->1
,,
Syntax Tree,Output,
0,go to elsewhere->0,
Nodes,Type,Output (Node -> Input)
0,operator{V[]aggV*},
1,operator{VrandCircleVS},0->0
2,operator{SgetRT},1->1
3,param{ref:self},2->0
4,param{const txt=visionRange},2->1
5,operator{VgetRT},1->0
6,param{ref:self},5->0
7,param{const txt=curPos},5->1
,,
Syntax Tree,Output,
0,go to prey->0,
Nodes,Type,Output (Node -> Input)
0,operator{V[]aggV*},
1,operator{VgetRT},0->0
2,param{const txt=curPos},1->1
3,operator{RgetR[]S},1->0
4,param{ref[]:enemies},3->0
5,operator{SminIdS[]},3->1
6,operator{S[]distV[]V},5->0
7,operator{V[]getR[]T},6->0
8,param{ref[]:enemies},7->0
9,param{const txt=curPos},7->1
10,operator{VgetRT},6->1
11,param{ref:self},10->0
12,param{const txt=curPos},10->1
,,
Syntax Tree,Output,
0,strike-> 0,
Nodes,Type,Output (Node -> Input)
0,operator{RgetR[]S},
1,param{const scal=0},0->1
2,param{ref[]:enemies},0->0
