States,Name,Type
0,INIT,Init
1,back to hive,trigger{goto}
2,water found,Inter
3,pick water,trigger{pick}
4,goto water,trigger{goto}
5,trace found,Inter
6,goto trace,trigger{goto}
7,nothing interesting,Inter
8,goto hive,trigger{goto}
,,
Transitions,Start State,End State
0,INIT,back to hive
1,INIT,water found
2,INIT,trace found
3,INIT,nothing interesting
4,water found,pick water
5,water found,goto water
6,trace found,goto trace
7,nothing interesting,goto hive
,,
Syntax Tree,output,
0,0,
Nodes,Type,output (Node -> Input)
0,operator{BgetRT},
1,param{const txt=isFull},0->1
2,param{ref=self},0->0
,,
Syntax Tree,output,
0,back to hive->0,
Nodes,Type,output (Node -> Input)
0,operator{V[]aggV*},
1,operator{VgetRT},0->0
2,param{const txt=pos},1->1
3,param{ref=hive},1->0
,,
Syntax Tree,output,
0,1,
Nodes,Type,output (Node -> Input)
0,operator{S<SS},
1,param{const scal=0},0->1
2,operator{SsizeR[]},0->0
3,param{ref[]=bRes},2->0
,,
Syntax Tree,output,
0,4,
Nodes,Type,output (Node -> Input)
0,operator{S<SS},
1,param{const scal=1},0->1
2,operator{SminValS[]},0->0
3,operator{SdistV[]V},2->0
4,operator{VgetRT},3->1
5,param{const txt=curPos},4->1
6,param{ref=self},4->0
7,operator{VgetR[]T},3->0
8,param{const txt=pos},7->1
9,param{ref[]=bRes},7->0
,,
Syntax Tree,output,
0,pick water->0,
Nodes,Type,output (Node -> Input)
0,operator{RgetR[]S},
1,param{ref[]=bRes},0->1
2,operator{SminIdS[]},0->0
3,operator{S[]distV[]V},2->0
4,operator{VgetRT},3->1
5,param{const txt=curPos},4->1
6,param{ref=self},4->0
7,operator{V[]getR[]T},3->0
8,param{const txt=pos},7->1
9,param{ref[]=bRes},7>0
,,
Syntax Tree,output,
0,goto water->0,
Nodes,Type,output (Node -> Input)
0,operator{V[]aggV},
1,operator{VgetRT},0->0
2,param{const txt=pos},1->1
3,operator{VgetRT},1->0
4,operator{RgetR[]S},3->0
5,param{ref[]=bRes},4->1
6,operator{SMinIdS[]},4->0
7,operator{S[]distV[]V},6->0
8,operator{VgetRT},7->1
9,param{const txt=curPos},8->1
10,param{ref=self},8->0
11,operator{VgetR[]T},7->0
12,param{const txt=pos},11->1
13,param{ref[]=bRes},11->0
,,
Syntax Tree,output,
0,goto hive->0,
Nodes,Type,output (Node -> Input)
0,operator{V[]aggV*},
1,operator{VgetRT},0->0
2,param{const txt=pos},1->1
3,param{ref=hive},1->0
,,
Syntax Tree,output,
0,goto trace->0,
Nodes,Type,output (Node -> Input)
0,operator{RgetR[]S},
1,param{ref[]=traces},0->1
2,operator{SMinIdS[]},0->0
3,operator{S[]getR[]T},2->0
4,param{const txt=age},3->1
5,operator{R[]where==RTC},3->0
6,param{ref[]=traces},5->0
7,param{const txt=color},5->1
8,param{const color=blue},5->2
