States,Position
INIT, -1, 3, 0
Inventory Is Full, -4, 3, 0
Enemy In Fire Range, -3, 0, 0
Resource Found, 1, 0, 0
Nothing Interesting, 2, 3, 0
Resource In Range, -1, -3, 0
Resource Away, 3, -3, 0
,,
Actions,Position
Roaming, 5, 3, 0
Strike, -5, -3, 0
Pick, -1, -6, 0
Goto, 3, -6, 0
,,
Operators,Position
getClosestEnemy_macro, -3, -3, 0
getAnyClosestResource_macro, 4, 0, 0
V[]aggV*, 5, -6, 0
VgetRT, 6, -6, 0
getAnyClosestResource_macro, -5, 3, -0.410553
B==SS, -3, 4, 0
SgetRT, 2, -4, 0
SgetRT, -3, 2, -0.410553
enemyInRange_macro, -3, 2, 0
anyResourceInRange _macro, 1, 2, 0
,,
Parameters,Position
const scal=180,7, 2, 0
const txt=pos,7, -5, 0
ref:self,2, -1, 0
const txt=nbItem,-3, 6, 0
ref:self,0, -4, -0.410553
const txt=nbItemMax,-1, 6, 0
