States,Name,Type
0,INIT,Init
1,green found,Inter
2,trace found,Inter
3,back to home,trigger{goto}
4,go to green,trigger{goto}
5,pick green,trigger{pick}
6,go to green trace,trigger{goto}
7,go to red trace,trigger{goto}
8,nothing interesting,Inter
9,go to home,trigger{goto}
10,red found,Inter
11,go to red,trigger{goto}
12,pick red,trigger{pick}
13,drop to home,trigger{drop}
14,is full,Inter
,,
Transitions,Start State,End State
0,INIT,is full
1,INIT,green found
2,INIT,red found
3,INIT,trace found
4,INIT,nothing interesting
5,green found,pick green
6,green found,go to green
7,trace found,go to green trace
8,trace found,go to red trace
9,nothing interesting,go to home
10,red found,pick red
11,red found,go to red
12,is full,drop to home
13,is full,back to home
,,
Syntax Tree,output,
1,back to home->0,
Nodes,Type,output (Node -> Input)
0,operator{V[]aggV*},
1,operator{VgetRT},0->0
2,param{ref:home},1->0
3,param{const txt=pos},1->1
,,
Syntax Tree,output,
1,go to green->0,
Nodes,Type,output (Node -> Input)
0,operator{V[]aggV*},
1,operator{VgetRT},0->0
2,macro{getClosestResource_macro},1->0
3,param{const color=Green},2->0
4,param{const txt=pos},1->1
,,
Syntax Tree,output,
1,pick green->0,
Nodes,Type,output (Node -> Input)
0,macro{getClosestResource_macro},
1,param{const color=Green},0->0
,,
Syntax Tree,output,
1,go to green trace->0,
Nodes,Type,output (Node -> Input)
0,operator{V[]aggV*},
1,operator{V[]reverseV[]},0->0
2,operator{V[]getRT},1->0
3,macro{getYoungestTrace_macro},2->0
4,param{const color=Green},3->0
5,param{const txt=points},2->1
,,
Syntax Tree,output,
1,go to red trace->0,
Nodes,Type,output (Node -> Input)
0,operator{V[]aggV*},
1,operator{V[]reverseV[]},0->0
2,operator{V[]getRT},1->0
3,macro{getYoungestTrace_macro},2->0
4,param{const color=Red},3->0
5,param{const txt=points},2->1
,,
Syntax Tree,output,
1,go to home->0,
Nodes,Type,output (Node -> Input)
0,operator{V[]aggV*},
1,operator{VgetRT},0->0
2,param{ref:home},1->0
3,param{const txt=pos},1->1
,,
Syntax Tree,output,
1,go to red->0,
Nodes,Type,output (Node -> Input)
0,operator{V[]aggV*},
1,operator{VgetRT},0->0
2,macro{getClosestResource_macro},1->0
3,param{const color=Red},2->0
4,param{const txt=pos},1->1
,,
Syntax Tree,output,
1,pick red->0,
Nodes,Type,output (Node -> Input)
0,macro{getClosestResource_macro},
1,param{const color=Red},0->0
,,
Syntax Tree,output,
1,0,
Nodes,Type,output (Node -> Input)
0,macro{stateFull_macro},
1,param{const txt=nbItemMax},0->0
2,param{const txt=nbItem},0->1
,,
Syntax Tree,output,
1,1,
Nodes,Type,output (Node -> Input)
0,macro{somethingInSight_macro},
1,macro{resourcesColor_macro},0->0
2,param{const color=Green},1->0
,,
Syntax Tree,output,
1,2,
Nodes,Type,output (Node -> Input)
0,macro{somethingInSight_macro},
1,macro{resourcesColor_macro},0->0
2,param{const color=Red},1->0
,,
Syntax Tree,output,
1,5,
Nodes,Type,output (Node -> Input)
0,macro{resourceInRange_macro},
1,param{const color=Green},0->0
,,
Syntax Tree,output,
1,7,
Nodes,Type,output (Node -> Input)
0,macro{somethingInSight_macro},
1,macro{traceColor_macro},0->0
2,param{const color=Green},1->0
,,
Syntax Tree,output,
1,8,
Nodes,Type,output (Node -> Input)
0,macro{somethingInSight_macro},
1,macro{traceColor_macro},0->0
2,param{const color=Red},1->0
,,
Syntax Tree,output,
1,10,
Nodes,Type,output (Node -> Input)
0,macro{resourceInRange_macro},
1,param{const color=Red},0->0
,,
Syntax Tree,output,
1,12,
Nodes,Type,output (Node -> Input)
0,operator{B<SS},
1,operator{SdistVV},0->0
2,operator{VgetRT},1->0
3,param{ref:self},2->0
4,param{const txt=curPos},2->1
5,operator{VgetRT},1->1
6,param{ref:home},5->0
7,param{const txt=pos},5->1
8,param{const scal=1},0->1
,,
